,title,release_date,popularity,vote_average,vote_count
1551,The Right Stuff,10/20/1983,2.5917,7.4,909
1552,Ballerina,6/4/2025,160.8981,7.4,1298
1553,Malena,3/16/2000,7.5745,7.436,2346
1554,Wind River,8/3/2017,5.9145,7.435,5442
1555,Chaplin,12/17/1992,2.3062,7.435,1123
1556,Contact,7/11/1997,4.8509,7.435,4678
1557,The SpongeBob Movie: Sponge on the Run,8/14/2020,5.4347,7.434,2902
1558,Sorcerer,6/24/1977,2.6315,7.4,593
1559,EverAfter,7/31/1998,3.3414,7.434,1503
1560,Bullet Train,8/3/2022,12.6241,7.432,6817
1561,Only the Brave,9/22/2017,5.1363,7.4,1678
1562,The Florida Project,10/6/2017,3.1842,7.433,2920
1563,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1/21/1976,1.7614,7.433,350
1564,A Pure Formality,5/15/1994,1.0993,7.432,367
1565,"Watch Out, We're Mad",3/29/1974,1.8833,7.4,837
1566,"Crouching Tiger, Hidden Dragon",7/6/2000,6.5015,7.433,3340
1567,Drive My Car,8/18/2021,2.2617,7.431,1360
1568,Sullivan's Travels,11/30/1941,1.4033,7.431,483
1569,The Trial,8/25/1962,2.8094,7.431,523
1570,Black Sunday,8/11/1960,1.9037,7.4,551
1571,Zelig,7/15/1983,1.1751,7.43,884
1572,The Swimmers,11/24/2022,1.9374,7.433,590
1573,The Boy and the Heron,7/14/2023,8.39,7.429,2278
1574,The Man Without a Past,3/1/2002,1.3581,7.429,388
1575,The Bourne Ultimatum,8/3/2007,6.1574,7.429,7944
1576,The Unforgivable,11/24/2021,2.7292,7.428,1899
1577,The Last Duel,10/13/2021,3.8553,7.428,3569
1578,Sweet Bean,5/30/2015,1.2272,7.428,575
1579,Unbroken,12/25/2014,4.6237,7.428,4200
1580,Star Trek,5/6/2009,6.5175,7.428,10095
1581,Trinity Is Still My Name,10/21/1971,2.484,7.428,938
1582,Five Nights at Freddy's,10/25/2023,16.3012,7.425,4487
1583,The Hunger Games: Catching Fire,11/15/2013,10.1376,7.426,17816
1584,Lemonade Mouth,4/15/2011,2.1826,7.427,1060
1585,Iron Monkey,9/3/1993,2.0075,7.4,308
1586,The Legend of Drunken Master,2/3/1994,3.2689,7.427,1011
1587,The Magdalene Sisters,8/30/2002,1.2755,7.427,423
1588,Mixed by Erry,3/2/2023,0.7564,7.426,464
1589,One Day,3/2/2011,5.3289,7.426,4374
1590,Once Upon a Time... in Hollywood,7/24/2019,15.2116,7.425,14059
1591,Barbie and the Diamond Castle,9/3/2008,4.8683,7.425,863
1592,The Secret Garden,8/13/1993,2.3162,7.4,935
1593,The Motorcycle Diaries,2/6/2004,1.973,7.425,1338
1594,Jin-Roh: The Wolf Brigade,11/17/1999,2.288,7.425,513
1595,Richard Jewell,12/13/2019,3.4197,7.4,2589
1596,Scooby-Doo! in Where's My Mummy?,5/13/2005,1.9734,7.4,407
1597,Last Year at Marienbad,5/25/1961,1.6541,7.4,506
1598,Miss Sloane,11/25/2016,3.012,7.423,1883
1599,The Muppet Christmas Carol,12/11/1992,1.974,7.423,1064
1600,Enter the Dragon,8/17/1973,4.1929,7.423,1973
1601,Sense and Sensibility,12/13/1995,4.1898,7.4,1743
1602,The Farewell,7/12/2019,1.9891,7.422,1464
1603,Justice League: War,1/21/2014,2.9646,7.422,1110
1604,Predestination,8/28/2014,5.6551,7.422,6701
1605,Hedwig and the Angry Inch,7/20/2001,1.0228,7.422,398
1606,Crush,4/29/2022,1.9038,7.421,464
1607,Missing,1/19/2023,3.9693,7.421,1146
1608,Extraction 2,6/9/2023,7.6003,7.4,2646
1609,Kalashnikov AK-47,2/20/2020,1.9441,7.4,330
1610,Nocturnal Animals,11/4/2016,3.4611,7.421,7992
1611,Crimes and Misdemeanors,10/13/1989,1.6197,7.421,903
1612,Glory Road,1/13/2006,2.2002,7.4,746
1613,The Last King of Scotland,9/27/2006,3.0865,7.421,2223
1614,The Mauritanian,2/12/2021,2.4779,7.42,1164
1615,Killers of the Flower Moon,10/18/2023,7.7215,7.419,3704
1616,Hour of the Wolf,2/19/1968,1.5117,7.42,513
1617,The Fly,8/15/1986,5.247,7.42,4656
1618,That Man from Rio,2/5/1964,1.2174,7.4,326
1619,Enemy at the Gates,2/28/2001,5.9296,7.4,3804
1620,In Safe Hands,12/5/2018,1.1199,7.419,518
1621,Killers of the Flower Moon,10/18/2023,7.7215,7.419,3704
1622,The Guernsey Literary & Potato Peel Pie Society,4/19/2018,2.2435,7.419,1351
1623,Doctor Strange,10/25/2016,10.9443,7.419,22700
1624,I Can Quit Whenever I Want,2/6/2014,0.9001,7.4,1818
1625,American Sniper,12/25/2014,7.7026,7.419,13203
1626,The Lego Movie,2/6/2014,6.4817,7.4,8085
1627,Enemy at the Gates,2/28/2001,5.9296,7.419,3805
1628,Duel,11/13/1971,2.378,7.419,1951
1629,Mon Oncle,5/10/1958,1.7316,7.419,575
1630,Ghost in the Shell 2.0,7/12/2008,1.9536,7.418,432
1631,This Is Spinal Tap,3/2/1984,2.7811,7.418,1492
1632,Cabaret,2/13/1972,2.5087,7.4,920
1633,Scream,12/20/1996,9.848,7.417,7397
1634,Irma la Douce,6/5/1963,2.2225,7.4,436
1635,The Godfather Part III,12/25/1990,9.6779,7.417,6471
1636,Drifting Home,9/9/2022,2.2157,7.4,302
1637,Summer of 85,7/14/2020,2.5341,7.4,868
1638,Romeo and Juliet,4/2/1968,2.7312,7.4,693
1639,Y Tu Mamá También,6/8/2001,5.8719,7.416,1619
1640,Johnny Guitar,5/26/1954,1.6856,7.415,445
1641,"Batman: The Long Halloween, Part Two",7/26/2021,1.7011,7.414,544
1642,Promising Young Woman,12/13/2020,4.8141,7.414,3403
1643,Lost Illusions,10/20/2021,1.0945,7.4,514
1644,Women on the Verge of a Nervous Breakdown,3/25/1988,1.8932,7.414,942
1645,Spellbound,11/8/1945,2.4429,7.4,920
1646,Sicario,9/17/2015,8.9677,7.412,9018
1647,August Rush,11/21/2007,3.5779,7.412,2746
1648,Un Chien Andalou,6/5/1929,1.8519,7.412,1341
1649,The Experiment,3/8/2001,2.1987,7.412,1133
1650,Leo,11/17/2023,6.4248,7.411,1258
1651,Justice Society: World War II,4/27/2021,1.9512,7.411,577
1652,Greyhound,7/9/2020,8.0296,7.411,3088
1653,Leto,6/7/2018,0.7348,7.411,320
1654,Being John Malkovich,10/29/1999,4.0576,7.411,4540
1655,Waiting for Bojangles,10/13/2021,1.0084,7.4,326
1656,Secretariat,8/20/2010,2.0387,7.4,609
1657,Delusions of Grandeur,12/8/1971,1.8187,7.4,707
1658,El Angel,8/9/2018,1.042,7.409,560
1659,Memoir of a Murderer,9/7/2017,2.5932,7.409,331
1660,American Me,3/13/1992,2.0579,7.4,375
1661,Repulsion,6/1/1965,2.0573,7.409,1036
1662,Creed,11/25/2015,12.9288,7.408,7649
1663,Once,3/23/2007,1.9937,7.409,1369
1664,The Omen,6/25/1976,3.3663,7.407,2232
1665,The Secret of Kells,2/9/2009,2.1632,7.4,730
1666,Frida,8/29/2002,3.3041,7.407,2069
1667,An American Werewolf in London,8/21/1981,4.3618,7.407,2534
1668,When Harry Met Sally...,7/12/1989,4.3843,7.407,4260
1669,Mr. Church,9/16/2016,1.7726,7.4,485
1670,Life of Pi,11/20/2012,6.269,7.406,13360
1671,My Girl,11/27/1991,4.381,7.406,2176
1672,American Psycho,4/13/2000,9.1406,7.406,11518
1673,Boys Don't Cry,9/2/1999,2.4631,7.406,1375
1674,Rise,3/30/2022,1.2672,7.4,438
1675,Spider-Man: Far From Home,6/28/2019,19.4885,7.405,16228
1676,You're Not You,10/10/2014,1.654,7.405,811
1677,Thunderbolts*,4/30/2025,110.0097,7.403,2176
1678,Justice League: Doom,2/28/2012,2.7955,7.404,897
1679,Naruto Shippuden the Movie,8/4/2007,4.9419,7.404,1043
1680,The Basketball Diaries,4/21/1995,3.2833,7.404,2079
1681,Sisu,9/9/2022,8.1401,7.4,2406
1682,The Peanut Butter Falcon,8/9/2019,3.8373,7.403,1498
1683,18 Presents,1/2/2020,1.2655,7.402,696
1684,The Conjuring: The Devil Made Me Do It,5/25/2021,18.8472,7.402,6116
1685,A Better Tomorrow,8/2/1986,2.245,7.4,552
1686,The Raid,3/22/2012,4.1861,7.402,3622
1687,Ciao Alberto,11/11/2021,1.537,7.4,678
1688,The Purple Rose of Cairo,3/1/1985,2.5294,7.4,1081
1689,Big Fish & Begonia,7/8/2016,2.461,7.399,454
1690,Tarzan,6/18/1999,8.6539,7.4,7012
1691,The Death of Superman,7/24/2018,4.7945,7.398,786
1692,3096 Days,2/21/2013,4.1521,7.398,939
1693,New World,2/21/2013,3.2186,7.398,489
1694,Taken,2/18/2008,13.2898,7.398,11594
1695,His Girl Friday,1/18/1940,2.0937,7.398,878
1696,The Mad Adventures of Rabbi Jacob,10/17/1973,2.6659,7.398,1007
1697,Little Tickles,11/14/2018,2.1541,7.397,365
1698,A Quiet Place,4/3/2018,9.9565,7.397,14701
1699,Like Crazy,5/17/2016,3.4225,7.4,885
1700,Red Desert,9/4/1964,1.0593,7.4,475
1701,The Mission,9/6/1986,2.3267,7.397,1455
1702,Stargirl,3/10/2020,1.356,7.396,561
1703,Rushmore,12/11/1998,3.4011,7.396,2576
1704,The Umbrellas of Cherbourg,2/19/1964,2.0266,7.4,830
1705,As Good as It Gets,12/19/1997,4.867,7.396,3914
1706,La Vie en Rose,2/14/2007,1.8984,7.396,1652
1707,Inside Man,3/17/2006,5.8097,7.396,6023
1708,The Devil Wears Prada,6/29/2006,15.1488,7.395,12439
1709,The Long Goodbye,3/8/1973,2.5506,7.4,696
1710,Why Don't You Play in Hell?,9/14/2013,1.0763,7.393,300
1711,Neon Genesis Evangelion: Death and Rebirth,3/15/1997,2.4072,7.393,464
1712,Legends of the Fall,12/23/1994,5.2474,7.393,2696
1713,I Am a Hero,4/23/2016,2.9896,7.392,459
1714,Interstate 60,4/13/2002,2.9043,7.391,722
1715,Happy as Lazzaro,5/31/2018,1.4382,7.39,729
1716,Selma,12/25/2014,2.0989,7.4,2246
1717,Drunken Master,10/5/1978,4.609,7.39,1011
1718,Stand by Me Doraemon,8/8/2014,3.0646,7.4,563
1719,Falling Down,2/26/1993,4.2677,7.389,3826
1720,Rudolph the Red-Nosed Reindeer,12/6/1964,1.732,7.389,615
1721,Joyeux Noel,11/9/2005,1.6742,7.4,884
1722,The Triplets of Belleville,6/11/2003,1.9961,7.389,985
1723,Monster Pets: A Hotel Transylvania Short,4/2/2021,2.5866,7.388,405
1724,Leviathan,9/24/2014,1.3839,7.4,896
1725,Neon Genesis Evangelion: Death and Rebirth,3/15/1997,2.4072,7.393,464
1726,Zulu,1/22/1964,2.3586,7.388,539
1727,Law Abiding Citizen,10/15/2009,6.8179,7.4,5375
1728,When the Wind Blows,10/24/1986,1.8091,7.4,302
1729,Mad Max 2,12/24/1981,5.6081,7.4,3932
1730,Clerks,10/19/1994,1.8458,7.4,2603
1731,The Piano,5/18/1993,2.64,7.4,1558
1732,Migration,12/6/2023,11.5444,7.387,2076
1733,The Last Letter from Your Lover,7/23/2021,2.136,7.4,628
1734,The Stronghold,8/18/2021,2.9145,7.4,1349
1735,Operation Red Sea,2/16/2018,2.7943,7.386,405
1736,Palm Trees in the Snow,12/25/2015,1.9271,7.386,534
1737,Tucker and Dale vs. Evil,1/22/2010,3.8428,7.386,2913
1738,Braindead,8/13/1992,1.999,7.4,1729
1739,Ghostland,3/14/2018,4.705,7.385,2529
1740,Dragon Ball: The Path to Power,3/4/1996,2.2052,7.385,379
1741,The Last of the Mohicans,8/26/1992,5.4968,7.385,3224
1742,Lost in Translation,9/18/2003,6.8277,7.385,7629
1743,Miss You Already,9/12/2015,1.7928,7.384,676
1744,Twin Peaks: Fire Walk with Me,6/3/1992,5.9454,7.384,2064
1745,Mudbound,11/16/2017,1.4439,7.383,1252
1746,Once in a Lifetime,12/3/2014,0.9847,7.383,321
1747,Once Were Warriors,9/2/1994,1.8166,7.4,453
1748,Pain and Glory,3/22/2019,2.8453,7.382,1835
1749,Burning,5/17/2018,3.839,7.382,1690
1750,The Lion in Winter,8/20/1968,2.4022,7.4,376
1751,Interview with the Vampire,11/11/1994,7.2534,7.382,6087
1752,The Fighter,12/10/2010,3.6093,7.381,4484
1753,A Time to Kill,7/24/1996,4.9143,7.382,2667
1754,Z-O-M-B-I-E-S 3,7/9/2022,4.1311,7.38,416
1755,Tekkonkinkreet,10/21/2006,1.7398,7.38,387
1756,My Sister's Keeper,6/26/2009,4.6663,7.38,2159
1757,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,11/25/2022,3.0295,7.4,413
1758,Only Yesterday,7/20/1991,2.6637,7.4,1165
1759,The Hunt for Red October,3/2/1990,4.9644,7.379,3421
1760,Only Yesterday,7/20/1991,2.6637,7.4,1165
1761,The Hunt for Red October,3/2/1990,4.9644,7.379,3421
1762,South Park: Post COVID: The Return of COVID,12/16/2021,1.6971,7.4,441
1763,Scooby-Doo and the Ghoul School,10/16/1988,1.9041,7.4,300
1764,Miracle on 34th Street,6/4/1947,1.6212,7.377,783
1765,Asterix & Obelix: Mission Cleopatra,1/30/2002,5.2557,7.4,3640
1766,Babylon,12/22/2022,8.1113,7.376,3435
1767,A Dog's Way Home,1/10/2019,2.7509,7.376,1144
1768,Teen Titans: The Judas Contract,3/31/2017,2.795,7.376,727
1769,A Royal Affair,3/29/2012,1.8887,7.376,901
1770,The Girl with the Dragon Tattoo,12/14/2011,7.0901,7.376,7241
1771,Office Space,2/19/1999,3.1516,7.4,3159
1772,The Collini Case,4/18/2019,1.2417,7.375,413
1773,The Best of Enemies,4/5/2019,1.9434,7.375,451
1774,The Good Lie,9/10/2014,2.6342,7.4,538
1775,Stuck in Love,6/14/2013,5.8609,7.375,1953
1776,Grease,6/16/1978,8.0171,7.375,7434
1777,The Wailing,5/12/2016,4.1513,7.374,1848
1778,Blow Out,7/24/1981,2.678,7.374,1544
1779,"To Wong Foo, Thanks for Everything! Julie Newmar",9/8/1995,3.3958,7.374,700
1780,Beetlejuice,3/30/1988,6.1737,7.373,8008
1781,"Maggie Simpson in ""Playdate with Destiny""",2/29/2020,0.6527,7.4,356
1782,Scooby-Doo! and the Witch's Ghost,10/5/1999,2.4799,7.4,453
1783,Futurama: Bender's Big Score,11/27/2007,1.4886,7.372,713
1784,The Remains of the Day,11/5/1993,3.0195,7.373,1387
1785,Bad Education,3/19/2004,2.1529,7.373,997
1786,Bad Boys: Ride or Die,6/5/2024,17.0947,7.371,2997
1787,Waves,11/15/2019,3.6613,7.4,758
1788,Black Panther,2/13/2018,11.48,7.371,22720
1789,Moonlight,10/21/2016,3.4985,7.37,7236
1790,The Social Network,10/1/2010,8.4477,7.37,12565
1791,The Sucker,3/24/1965,2.5371,7.369,673
1792,Crossroads,3/14/1986,2.3584,7.369,450
1793,"What's Up, Doc?",3/9/1972,1.9314,7.369,417
1794,Through the Fire,11/28/2018,1.208,7.368,691
1795,I Can Quit Whenever I Want 2: Masterclass,2/2/2017,0.8338,7.368,1227
1796,On the Basis of Sex,12/25/2018,2.8501,7.368,1061
1797,If I Stay,8/21/2014,3.1382,7.368,4231
1798,Rise of the Guardians,11/21/2012,7.2921,7.4,6895
1799,The Way of the Dragon,12/30/1972,4.1232,7.368,1191
1800,Shine,8/15/1996,1.1707,7.368,673
1801,Pirates of the Caribbean: Dead Man's Chest,7/6/2006,16.2982,7.368,16494
1802,Mufasa: The Lion King,12/18/2024,32.1897,7.367,2304
1803,PAW Patrol: The Movie,8/9/2021,5.995,7.367,1240
1804,Patema Inverted,11/9/2013,2.3216,7.4,427
1805,Love & Basketball,4/21/2000,1.802,7.4,442
1806,I Can Quit Whenever I Want 3: Ad Honorem,11/30/2017,0.6267,7.366,976
1807,The Impossible,9/9/2012,5.3603,7.366,6441
1808,The Woman in the Window,10/25/1944,1.1339,7.366,361
1809,Perfume: The Story of a Murderer,9/13/2006,6.2004,7.366,4731
1810,La Belle Époque,11/6/2019,1.8333,7.365,1032
1811,Naruto Shippuden the Movie: The Will of Fire,8/1/2009,5.3126,7.365,492
1812,Ice Age,3/14/2002,13.5516,7.364,13732
1813,Southpaw,3/24/2015,12.5786,7.4,5592
1814,The Killers,8/30/1946,1.9743,7.364,402
1815,Till,10/14/2022,3.3526,7.363,302
1816,Through My Window,2/4/2022,11.2321,7.363,3256
1817,Submarine,3/18/2011,2.4579,7.363,1506
1818,Serenity,9/25/2005,4.0947,7.363,3658
1819,Pierrot le Fou,11/5/1965,2.1502,7.4,891
1820,Pierrot le Fou,11/5/1965,2.1502,7.4,891
1821,Jerry & Marge Go Large,10/20/2022,3.6271,7.362,402
1822,The Great Gatsby,5/9/2013,7.3744,7.362,12542
1823,Rudy,9/17/1993,2.2424,7.362,700
1824,First They Killed My Father,2/18/2017,1.8586,7.4,687
1825,Vagabond,12/4/1985,1.1353,7.4,330
1826,Scooby-Doo! and the Reluctant Werewolf,11/13/1988,2.1853,7.361,320
1827,Jacob's Ladder,11/2/1990,3.7549,7.4,1732
1828,Fruitvale Station,7/26/2013,1.975,7.4,1338
1829,A Letter to Momo,4/21/2012,1.6521,7.36,375
1830,The Hobbit: An Unexpected Journey,12/12/2012,12.5734,7.36,18921
1831,Dear Diary,11/12/1993,1.674,7.4,490
1832,"Dearest Relatives, Poisonous Relations",3/26/1992,0.4362,7.36,336
1833,The Man in the Moon,9/30/1991,4.0689,7.36,329
1834,The Counterfeiters,3/22/2007,1.6796,7.36,641
1835,Eraserhead,9/28/1977,3.8759,7.4,2590
1836,Blood and Bone,2/7/2009,8.3736,7.4,818
1837,Those Happy Days,6/28/2006,1.3587,7.359,1059
1838,Match Point,10/26/2005,3.7565,7.359,4182
1839,Superman II: The Richard Donner Cut,11/2/2006,3.0658,7.358,355
1840,The Man in the Moon,9/30/1991,4.0689,7.36,329
1841,Lifeboat,1/28/1944,1.3107,7.358,455
1842,Fantasia,11/13/1940,5.6732,7.357,3168
1843,The Idea of You,5/2/2024,18.0142,7.357,1739
1844,Injustice,10/9/2021,2.2364,7.357,805
1845,Frantz,9/7/2016,2.1152,7.4,712
1846,The Red Violin,11/13/1998,1.5946,7.357,429
1847,El Dorado,12/17/1966,3.191,7.357,552
1848,Blow,4/4/2001,5.0673,7.357,4416
1849,Jackie Brown,12/25/1997,4.9834,7.356,6604
1850,The In Between,2/11/2022,3.566,7.356,797
1851,Tinker Bell and the Legend of the NeverBeast,12/12/2014,5.9069,7.4,1139
1852,Eastern Promises,9/14/2007,3.5525,7.4,3494
1853,The Wind That Shakes the Barley,6/23/2006,2.0793,7.356,841
1854,Jerry & Marge Go Large,10/20/2022,3.6271,7.362,402
1855,Unlocked,2/17/2023,2.5326,7.355,355
1856,The Boss Baby: Family Business,7/1/2021,7.5574,7.355,2617
1857,Mutiny on the Bounty,11/22/1935,1.9837,7.355,354
1858,Pay It Forward,10/20/2000,2.4495,7.4,1882
1859,The Lady from Shanghai,12/24/1947,1.5637,7.4,690
1860,An Affair to Remember,7/11/1957,1.5074,7.354,487
1861,Goldfinger,9/20/1964,4.8512,7.354,3723
1862,The African Queen,1/7/1952,2.0097,7.354,996
1863,Adaptation.,12/6/2002,2.4462,7.353,2601
1864,The Station Agent,12/5/2003,2.0865,7.353,712
1865,The Witch: Part 2. The Other One,6/15/2022,10.1854,7.4,382
1866,Scooby-Doo! WrestleMania Mystery,3/11/2014,2.4152,7.352,324
1867,Road to Ninja: Naruto the Movie,7/28/2012,4.7373,7.352,1212
1868,End of Watch,9/20/2012,4.5968,7.352,3401
1869,Possession,5/27/1981,4.4399,7.4,1201
1870,Minority Report,6/20/2002,12.1746,7.352,9083
1871,Darkest Hour,11/22/2017,4.4891,7.351,5259
1872,Okja,6/28/2017,3.0588,7.351,4387
1873,Road to Perdition,7/12/2002,4.6565,7.351,3777
1874,The Abyss,8/9/1989,4.608,7.351,3171
1875,Philomena,11/1/2013,2.5246,7.35,1645
1876,The Physician,12/25/2013,2.8071,7.3,1113
1877,Wait Until Dark,10/26/1967,2.0481,7.352,556
1878,The Terminal,6/17/2004,6.5509,7.35,8202
1879,Frances Ha,5/17/2013,3.4009,7.349,1716
1880,Horse Fever,10/29/1976,0.7433,7.349,368
1881,The Little Mermaid,11/17/1989,9.2552,7.349,8115
1882,Close Encounters of the Third Kind,12/14/1977,4.6005,7.3,4378
1883,2 Hearts,10/16/2020,1.8851,7.3,592
1884,Down by Law,9/20/1986,1.6593,7.348,786
1885,Enola Holmes 2,11/30/2022,4.1446,7.347,1579
1886,The Lunchbox,9/20/2013,1.4371,7.3,743
1887,Meet Joe Black,11/12/1998,8.2033,7.347,5463
1888,Saving Mr. Banks,11/29/2013,1.8278,7.346,3366
1889,Wreck-It Ralph,11/1/2012,9.591,7.346,12622
1890,RoboCop,7/17/1987,5.5697,7.3,5394
1891,Descendants 2,7/21/2017,6.2114,7.346,1715
1892,Pelé: Birth of a Legend,5/6/2016,2.8721,7.346,1107
1893,Kelly's Heroes,6/22/1970,3.0694,7.3,756
1894,The Time Machine,5/25/1960,4.0719,7.3,856
1895,The Bandit,11/29/1996,0.7241,7.3,334
1896,The Wicker Man,12/6/1973,4.8858,7.344,1504
1897,Nowhere,9/29/2023,4.6839,7.343,1465
1898,Remember,10/23/2015,1.7752,7.343,728
1899,French Fried Vacation 2,11/22/1979,1.9786,7.343,1230
1900,A Matter of Loaf and Death,12/26/2008,1.796,7.3,565
1901,My Father's Glory,8/29/1990,1.0354,7.343,318
1902,Ghost in the Shell 2: Innocence,3/6/2004,2.7419,7.343,911
1903,High Plains Drifter,4/19/1973,3.805,7.343,1238
1904,A Walk in the Clouds,5/27/1995,3.6247,7.3,1067
1905,Minari,2/12/2021,2.571,7.342,1709
1906,Turning Red,3/10/2022,11.5006,7.3,5489
1907,Don't Torture a Duckling,9/29/1972,1.2392,7.342,389
1908,Glengarry Glen Ross,9/10/1992,2.2169,7.342,1480
1909,Gentlemen Prefer Blondes,7/14/1953,2.397,7.342,1006
1910,Decision to Leave,6/29/2022,4.8438,7.341,1319
1911,Cherry,2/26/2021,3.6978,7.341,1312
1912,Split,1/19/2017,7.9865,7.341,17775
1913,"Bianco, rosso e Verdone",2/20/1981,1.0945,7.341,722
1914,A Woman Is a Woman,9/6/1961,1.1671,7.3,381
1915,Sophie's Choice,12/8/1982,2.5016,7.341,885
1916,Watchmen,3/4/2009,8.5141,7.341,9525
1917,Johnny Stecchino,10/24/1991,0.9346,7.341,1037
1918,Operation Condor,2/7/1991,3.8682,7.3,586
1919,"The Cook, the Thief, His Wife & Her Lover",10/13/1989,2.3414,7.3,660
1920,Blindspotting,7/20/2018,1.4125,7.34,686
1921,Ghostbusters: Afterlife,11/18/2021,7.0734,7.34,4863
1922,Palm Springs,7/10/2020,6.4602,7.339,3357
1923,The 39 Steps,6/6/1935,2.4823,7.3,992
1924,Red River,9/17/1948,2.1645,7.338,556
1925,Oscar,10/11/1967,1.3012,7.3,505
1926,A Nightmare on Elm Street,11/9/1984,11.217,7.338,5389
1927,John Wick: Chapter 2,2/8/2017,15.9333,7.337,13595
1928,The Enigma of Kaspar Hauser,11/1/1974,1.8829,7.3,344
1929,Europa,6/27/1991,1.0594,7.337,334
1930,A Man for All Seasons,12/13/1966,2.2571,7.337,457
1931,The Yellow Sea,12/22/2010,1.7049,7.3,521
1932,Undisputed II: Last Man Standing,4/11/2006,6.1156,7.336,853
1933,Rise of the Planet of the Apes,8/3/2011,9.1745,7.336,12272
1934,Justice League: Crisis on Infinite Earths Part One,1/8/2024,5.3152,7.334,362
1935,A Boy Called Christmas,11/24/2021,1.4235,7.334,760
1936,Dungeons & Dragons: Honor Among Thieves,3/23/2023,8.3208,7.333,4085
1937,Jungle Cruise,7/28/2021,7.2261,7.335,5870
1938,The Twelve Tasks of Asterix,6/26/1976,2.3738,7.3,1286
1939,Sorry We Missed You,10/4/2019,1.372,7.333,782
1940,The Butler,8/16/2013,2.7409,7.333,2938
1941,Now You See Me,5/29/2013,9.315,7.333,15931
1942,Batman Beyond: Return of the Joker,12/12/2000,2.3643,7.336,1145
1943,The Kite Runner,12/14/2007,2.1961,7.336,1187
1944,Lord of War,9/16/2005,5.6201,7.333,4996
1945,Words Bubble Up Like Soda Pop,7/22/2021,1.4073,7.332,307
1946,Batman: Assault on Arkham,8/12/2014,2.0483,7.332,1152
1947,Dawn of the Planet of the Apes,7/8/2014,10.6801,7.332,11767
1948,All That Heaven Allows,12/25/1955,1.2863,7.332,319
1949,Cyrano de Bergerac,3/28/1990,1.2939,7.3,788
1950,Mystery Train,9/6/1989,1.7538,7.332,470
1951,Christiane F.,4/2/1981,2.1444,7.332,1374
1952,God's Crooked Lines,10/6/2022,1.9885,7.331,746
1953,Spider-Man: Homecoming,7/5/2017,23.3708,7.331,22378
1954,The Zookeeper's Wife,3/24/2017,2.3599,7.331,1523
1955,Ghost Dog: The Way of the Samurai,10/6/1999,2.8886,7.331,1288
1956,Bubble,2/14/2022,1.5784,7.33,439
1957,Black Box,9/8/2021,2.7381,7.33,1323
1958,Chemical Hearts,8/21/2020,3.0972,7.3,1134
1959,The Big Sick,3/30/2017,2.3242,7.33,2506
1960,20th Century Women,12/28/2016,2.2608,7.3,1176
1961,Kirikou and the Sorceress,12/9/1998,2.0137,7.33,1124
1962,Dirty Dancing,8/21/1987,6.2363,7.3,6304
1963,Papillon,9/7/2017,4.4624,7.329,2016
1964,Blood and Black Lace,4/10/1964,1.6266,7.329,436
1965,True Grit,6/11/1969,2.9425,7.329,814
1966,A Hard Day's Night,7/7/1964,1.7902,7.3,705
1967,Belladonna of Sadness,6/30/1973,1.5211,7.3,334
1968,21 Grams,9/6/2003,2.8803,7.328,3223
1969,The Sea Beast,6/24/2022,3.6262,7.327,1565
1970,Hamlet,12/25/1996,2.1007,7.327,494
1971,Dark City,2/27/1998,5.8698,7.327,2971
1972,Resident Evil: Death Island,6/22/2023,4.7008,7.326,1040
1973,The Mafia Kills Only in Summer,11/28/2013,0.9964,7.326,1116
1974,The Hobbit: The Battle of the Five Armies,12/10/2014,16.0699,7.326,14734
1975,13 Assassins,9/25/2010,3.1138,7.325,1185
1976,Chocolate,2/6/2008,2.6863,7.326,517
1977,Dead Man Walking,12/29/1995,2.7408,7.326,1407
1978,The Judge,10/8/2014,7.0689,7.325,4226
1979,The Hangover,6/2/2009,16.4377,7.325,17394
1980,25th Hour,12/19/2002,2.0276,7.325,2431
1981,Red Dog,8/4/2011,1.5389,7.324,412
1982,Santa Claus Is a Stinker,8/25/1982,1.4664,7.324,1017
1983,Blow-Up,12/18/1966,2.1618,7.3,1298
1984,What's in a Name,4/25/2012,1.4134,7.323,1730
1985,House,8/26/1977,2.2379,7.3,713
1986,A Very Long Engagement,10/27/2004,2.4003,7.323,1250
1987,The Bourne Supremacy,7/23/2004,6.2193,7.323,7755
1988,Belle de Jour,5/24/1967,2.8758,7.323,956
1989,Lilo & Stitch,5/17/2025,225.926,7.322,1307
1990,Summer with Monika,2/9/1953,1.8369,7.3,363
1991,CJ7,1/30/2008,3.8101,7.322,743
1992,Finding Neverland,10/17/2004,2.8627,7.323,3623
1993,Air,4/5/2023,6.2389,7.321,2121
1994,A Dog's Life,4/14/1918,0.8266,7.3,338
1995,Precious,11/6/2009,2.319,7.321,1680
1996,Red Cliff II,1/7/2009,2.8126,7.3,458
1997,Dazed and Confused,9/24/1993,4.0249,7.321,2131
1998,Uncle Frank,11/25/2020,1.8506,7.3,420
1999,Harriet,11/1/2019,2.71,7.32,849
2000,Loveless,6/1/2017,1.6453,7.3,772
2001,Now Is Good,9/19/2012,1.3898,7.32,1088
2002,Suicide Room,3/4/2011,1.057,7.32,463
2003,Star Trek Into Darkness,5/5/2013,5.5411,7.32,9307
