,title,release_date,popularity,vote_average,vote_count
104,Gladiator,5/4/2000,15.467,8.2,19926
105,Justice League Dark: Apokolips War,5/5/2020,4.0122,8.22,1505
106,Saving Private Ryan,7/24/1998,10.6079,8.22,16440
107,Puss in Boots: The Last Wish,12/7/2022,13.9104,8.215,8332
108,Witness for the Prosecution,12/17/1957,3.9938,8.215,1523
109,Inglourious Basterds,8/2/2009,18.5827,8.214,23086
110,"The Boy, the Mole, the Fox and the Horse",12/25/2022,5.394,8.2,649
111,Wolfwalkers,10/26/2020,2.8946,8.213,1278
112,Woman in the Dunes,2/15/1964,2.7565,8.215,483
113,The Shining,5/23/1980,12.1039,8.2,18095
114,TAYLOR SWIFT | THE ERAS TOUR,10/13/2023,1.9925,8.211,457
115,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,10/16/2020,17.1491,8.209,4150
116,The Help,8/9/2011,10.9522,8.207,8636
117,Star Wars,5/25/1977,19.457,8.2,21377
118,The Art of Racing in the Rain,8/8/2019,2.6948,8.2,1533
119,The Handmaiden,6/1/2016,13.6396,8.204,3993
120,Michael Jackson's Thriller,11/14/1983,1.512,8.2,714
121,The Prestige,10/17/2006,10.4599,8.2,16689
122,Coco,10/27/2017,18.0772,8.2,20127
123,Shutter Island,2/14/2010,12.8402,8.201,24738
124,My Mom Is a Character 3,12/26/2019,0.6118,8.199,483
125,Maquia: When the Promised Flower Blooms,2/24/2018,3.0381,8.196,662
126,Doctor Who: The Day of the Doctor,11/23/2013,1.8739,8.193,761
127,The Apartment,6/21/1960,3.4132,8.2,2458
128,Hacksaw Ridge,10/7/2016,13.3066,8.2,14224
129,A Clockwork Orange,12/19/1971,7.3517,8.186,13282
130,Django Unchained,12/25/2012,10.4313,8.2,26962
131,The Seventh Seal,2/16/1957,4.6198,8.182,3145
132,20th Century Girl,10/6/2022,9.2967,8.179,753
133,Steven Universe: The Movie,10/7/2019,2.9206,8.177,821
134,Bicycle Thieves,7/21/1948,3.4622,8.2,2512
135,Memento,10/11/2000,8.7174,8.177,15442
136,Investigation of a Citizen Above Suspicion,10/16/1970,1.7134,8.176,822
137,The Usual Suspects,7/19/1995,10.1012,8.173,10794
138,Top Gun: Maverick,5/21/2022,22.1195,8.169,10076
139,Tokyo Story,11/3/1953,4.014,8.2,1139
140,Flow,8/29/2024,22.9735,8.166,2195
